Group,Batch,species,peakarea,logpeakarea,Class
DMSO,2,PC(18:0_22:6),374256744.6,28.47945307,PC
DMSO,2,PC(18:1_18:1),27372125809,34.67198843,PC
DMSO,2,PC(18:1_22:5),955605975.6,29.83184063,PC
DMSO,2,PE(14:0_20:4),13124811.79,23.6457934,PE
DMSO,2,PE(15:0_18:1),141336415.1,27.07455798,PE
DMSO,2,PE(16:0_16:0),292814283.8,28.12541069,PE
DMSO,2,PE(16:0_16:1),350239104.3,28.38376493,PE
DMSO,2,PE(16:0_18:0),113492014.7,26.75801555,PE
DMSO,2,PE(16:0_18:1),7005910925,32.7059255,PE
DMSO,2,PE(16:0_18:2),1731805557,30.68962981,PE
DMSO,2,PE(16:0_18:3),618213063.8,29.2035289,PE
DMSO,2,PE(16:0_20:4),669581081,29.31868352,PE
DMSO,2,PE(16:0_20:5),393290302.9,28.55101937,PE
DMSO,2,PE(17:0_18:1),463379980.2,28.78762047,PE
DMSO,2,PE(18:0_18:1),3920908508,31.86854083,PE
DMSO,2,PE(18:0_20:3),179548810.9,27.41980086,PE
DMSO,2,PE(18:0_20:4),709865527,29.40297051,PE
DMSO,2,PE(18:0_20:5),404680789.5,28.59220912,PE
DMSO,2,PE(18:0_22:5),627080809.8,29.22407613,PE
DMSO,2,PE(18:1_18:1),2954099524,31.46007129,PE
DMSO,2,PE(18:1_18:2),1027662962,29.93672004,PE
DMSO,2,PE(18:1_20:4),720302785.3,29.42402824,PE
DMSO,2,PE(18:1_20:5),123009349.5,26.87419273,PE
DMSO,2,PE(32:2),42699004.98,25.34769911,PE
DMSO,2,PE(32:3),10655433.56,23.34508596,PE
DMSO,2,PE(36:5),24853040.06,24.566919,PE
DMSO,2,PE(41:5),23227281.93,24.469317,PE
DMSO,2,PG(16:0_18:1),561696239.3,29.0652149,PG
DMSO,2,PG(16:0_18:2),106390125.5,26.66478901,PG
DMSO,2,PG(16:0_20:4),15815079.83,23.9147975,PG
DMSO,2,PG(18:0_20:5),21484410.07,24.35678683,PG
DMSO,2,PG(18:1_18:1),633681409.8,29.23918245,PG
DMSO,2,PG(18:1_18:2),249168836,27.8925484,PG
DMSO,2,PG(18:1_20:4),33856693.09,25.01293773,PG
DMSO,2,PG(34:3),14652086.47,23.80460278,PG
DMSO,2,PG(36:4),39501112.92,25.23538996,PG
DMSO,2,PI(34:1),84664970.99,26.33526186,PI
DMSO,2,PI(36:1),398409320.3,28.56967616,PI
DMSO,2,PI(36:2),197456240.8,27.55695773,PI
DMSO,2,PI(36:3),17158977.06,24.03246021,PI
DMSO,2,Plasmanyl-LPC(O-16:1),9936269.606,23.24427289,Plasmanyl-LPC
DMSO,2,Plasmenyl-PE(P-16:0/18:1),15441264.11,23.88028753,Plasmenyl-PE
DMSO,2,Plasmenyl-PE(P-16:0/22:5),66339444.61,25.9833636,Plasmenyl-PE
DMSO,2,Plasmenyl-PE(P-18:0/22:4),36027951.23,25.10261328,Plasmenyl-PE
DMSO,2,Plasmenyl-PE(P-18:0/22:6),48462237.83,25.53035769,Plasmenyl-PE
DMSO,2,PS(16:0_18:1),147414108.6,27.13529937,PS
DMSO,2,PS(18:0_18:1),529246748.8,28.97936526,PS
DMSO,2,PS(18:0_20:4),158961973.8,27.24410645,PS
DMSO,2,PS(18:0_20:5),46065174.85,25.45717315,PS
DMSO,2,PS(18:0_22:6),52352491.29,25.64175486,PS
DMSO,2,PS(18:1_18:1),388040279,28.53163117,PS
DMSO,2,PS(18:1_18:2),62000065.86,25.88576641,PS
DMSO,2,PS(34:1),48952026.59,25.54486525,PS
DMSO,2,SM(d18:1/16:0),2360800069,31.13662872,SM
DMSO,2,SM(d18:1/22:0),724982636.8,29.4333712,SM
DMSO,2,SM(d18:1/24:0),1148948511,30.097667,SM
DMSO,2,SM(d18:1/24:1),2055071195,30.93654123,SM
DMSO,2,TG(12:0_12:0_12:0),1631402.719,20.63768153,TG
DMSO,2,TG(14:0_16:1_18:2),28373013.32,24.75801604,TG
DMSO,2,TG(14:0_18:1_18:3),141770730.8,27.07898447,TG
DMSO,2,TG(15:0_18:1_18:3),29051997.56,24.79213403,TG
DMSO,2,TG(16:0_18:2_18:3),322594319.4,28.26514579,TG
DMSO,2,TG(16:0_18:2_20:5),229527770,27.77409347,TG
DMSO,2,TG(16:0_18:3_18:3),75877752.69,26.17717361,TG
DMSO,2,TG(16:0_18:3_22:6),59730138.43,25.83195573,TG
DMSO,2,TG(17:1_18:2_18:2),10203609.15,23.28257621,TG
DMSO,2,TG(18:1_18:2_18:3),332016326.2,28.30667894,TG
DMSO,2,TG(18:1_18:2_20:5),287813826.7,28.10056066,TG
DMSO,2,TG(18:1_18:3_22:6),37803159.99,25.1720035,TG
DMSO,2,TG(18:1_20:4_22:5),31922567.4,24.92807335,TG
DMSO,3,BMP(18:1_22:5),18475067.78,24.13907632,BMP
DMSO,3,Cer-NS(d18:1/22:0),14228920.94,23.76232292,Cer-NS
DMSO,3,Cer-NS(d18:1/24:0),57798472.35,25.78452803,Cer-NS
DMSO,3,Cer-NS(d18:1/24:1),78392140.23,26.22420568,Cer-NS
DMSO,3,DG(14:0_18:1),227756381.4,27.76291624,DG
DMSO,3,DG(14:0_18:2),26747951.74,24.67292508,DG
DMSO,3,DG(15:0_16:0),6480703.871,22.62771908,DG
DMSO,3,DG(15:0_18:1),147607819.2,27.13719391,DG
DMSO,3,DG(16:0_16:0),748051796.5,29.47856293,DG
DMSO,3,DG(16:0_18:0),193559842.5,27.52820443,DG
DMSO,3,DG(16:0_18:1),5393602806,32.32860214,DG
DMSO,3,DG(16:0_18:2),1628839986,30.60119774,DG
DMSO,3,DG(16:0_18:3),180778864.5,27.42965078,DG
DMSO,3,DG(16:0_20:5),69093751.09,26.0420519,DG
DMSO,3,DG(17:0_18:1),429049086.6,28.67656747,DG
DMSO,3,DG(17:1_18:1),180060163.9,27.4239038,DG
DMSO,3,DG(17:1_18:2),21875846.03,24.38283548,DG
DMSO,3,DG(18:0_18:0),115336044.2,26.78126821,DG
DMSO,3,DG(18:0_18:1),3788938392,31.81914654,DG
DMSO,3,DG(18:0_20:4),153345107.8,27.1922069,DG
DMSO,3,DG(18:0_22:5),187496927.5,27.48229171,DG
DMSO,3,DG(18:1_18:1),6504156089,32.59871473,DG
DMSO,3,DG(18:1_18:2),3026131018,31.49482731,DG
DMSO,3,DG(18:1_18:3),844204246.5,29.65301685,DG
DMSO,3,DG(18:1_20:0),22076553.31,24.39601161,DG
DMSO,3,DG(18:1_20:3),472013631.6,28.81425328,DG
DMSO,3,DG(18:1_20:4),1093605405,30.02644513,DG
DMSO,3,DG(18:1_20:5),204682716.6,27.60881405,DG
DMSO,3,DG(18:1_22:5),380898322,28.50483069,DG
DMSO,3,DG(18:1_22:6),67672423.08,26.01206471,DG
DMSO,3,DG(18:2_18:3),82819334.27,26.30346427,DG
DMSO,3,HBMP(16:0_18:1_14:0),10826937.71,23.36812191,HBMP
DMSO,3,HBMP(16:0_18:1_16:0),261804316,27.96391364,HBMP
DMSO,3,HBMP(16:0_18:2_16:0),73824672.99,26.13759973,HBMP
DMSO,3,HBMP(16:0_20:4_16:0),31509895.88,24.90930165,HBMP
DMSO,3,HBMP(18:0_18:1_16:0),167244749.5,27.31738568,HBMP
DMSO,3,HBMP(18:0_18:1_18:0),19434861.49,24.21214349,HBMP
DMSO,3,HBMP(18:0_18:2_18:1),76655107.49,26.19187859,HBMP
DMSO,3,HBMP(18:0_18:3_18:1),43949749.25,25.3893516,HBMP
DMSO,3,HBMP(18:1_18:1_16:0),274887115.9,28.03426405,HBMP
DMSO,3,HBMP(18:1_18:1_18:0),69339095.62,26.04716568,HBMP
DMSO,3,HBMP(18:1_18:2_16:0),153188541.2,27.19073314,HBMP
DMSO,3,HBMP(18:1_20:4_16:0),11411978.56,23.44404561,HBMP
DMSO,3,LPC(18:1),9578604.161,23.191384,LPC
DMSO,3,PC(14:0_16:0),2214811970,31.04453708,PC
DMSO,3,PC(14:0_16:1),175988971.7,27.39090978,PC
DMSO,3,PC(14:0_18:1),10054309646,33.22709497,PC
DMSO,3,PC(14:0_18:2),732694895,29.44863732,PC
DMSO,3,PC(15:0_16:0),1351420770,30.33182979,PC
DMSO,3,PC(15:0_18:1),5308343841,32.30561468,PC
DMSO,3,PC(15:0_18:2),551242075.6,29.03811077,PC
DMSO,3,PC(16:0_16:0),22838605983,34.41075554,PC
DMSO,3,PC(16:0_17:0),1303833187,30.28011216,PC
DMSO,3,PC(16:0_18:1),1.19667E+11,36.80023039,PC
DMSO,3,PC(16:0_18:2),24148016417,34.49118564,PC
DMSO,3,PC(16:0_20:4),7173641251,32.74005845,PC
DMSO,3,PC(16:0_22:5),8746460720,33.0260522,PC
DMSO,3,PC(16:0_22:6),1725548501,30.68440788,PC
DMSO,3,PC(17:0_18:1),6065886151,32.49807127,PC
DMSO,3,PC(17:0_18:2),1177265599,30.13279269,PC
DMSO,3,PC(18:0_18:0),874699703.8,29.70421256,PC
DMSO,3,PC(18:0_20:4),3742059938,31.80118552,PC
DMSO,3,PC(18:0_22:5),1907709711,30.82919451,PC
DMSO,3,PC(18:0_22:6),491505763.5,28.87263309,PC
DMSO,3,PC(18:1_18:1),26679588556,34.63501737,PC
DMSO,3,PC(18:1_22:5),891623827.6,29.73185993,PC
DMSO,3,PE(14:0_20:4),5515292.486,22.39500597,PE
DMSO,3,PE(15:0_18:1),109070235.6,26.70068221,PE
DMSO,3,PE(16:0_16:0),259511490.3,27.95122318,PE
DMSO,3,PE(16:0_16:1),263708448.8,27.97436855,PE
DMSO,3,PE(16:0_18:0),89963028.99,26.4228289,PE
DMSO,3,PE(16:0_18:1),6550950759,32.60905716,PE
DMSO,3,PE(16:0_18:2),1402047110,30.38488768,PE
DMSO,3,PE(16:0_18:3),466215494.8,28.79642171,PE
DMSO,3,PE(16:0_20:4),573670603.6,29.09564735,PE
DMSO,3,PE(16:0_20:5),311012515.9,28.2123974,PE
DMSO,3,PE(17:0_18:1),358683528.7,28.41813626,PE
DMSO,3,PE(18:0_18:1),3211750610,31.58071273,PE
DMSO,3,PE(18:0_20:3),140066233.1,27.06153395,PE
DMSO,3,PE(18:0_20:4),523086582.7,28.96247452,PE
DMSO,3,PE(18:0_20:5),318052169.2,28.24468819,PE
DMSO,3,PE(18:0_22:5),467000233.4,28.79884803,PE
DMSO,3,PE(18:1_18:1),2407728775,31.16502574,PE
DMSO,3,PE(18:1_18:2),893048008.5,29.73416249,PE
DMSO,3,PE(18:1_20:4),578255853.3,29.10713272,PE
DMSO,3,PE(18:1_20:5),119318828,26.83024647,PE
DMSO,3,PE(32:2),32278294.89,24.94406103,PE
DMSO,3,PE(32:3),6012339.17,22.51949497,PE
DMSO,3,PE(36:5),19846184.51,24.24235834,PE
DMSO,3,PE(41:5),33910074.56,25.01521062,PE
DMSO,3,PG(16:0_18:1),407691227.7,28.60290167,PG
DMSO,3,PG(16:0_18:2),86879829.36,26.37251793,PG
DMSO,3,PG(16:0_20:4),5193240.114,22.3082035,PG
DMSO,3,PG(18:0_20:5),12220768.01,23.54283162,PG
DMSO,3,PG(18:1_18:1),486353612.5,28.85743039,PG
DMSO,3,PG(18:1_18:2),189835700.4,27.50017609,PG
DMSO,3,PG(18:1_20:4),24537855.46,24.54850583,PG
DMSO,3,PG(34:3),11485600.81,23.45332299,PG
DMSO,3,PG(36:4),31129668.11,24.89178686,PG
DMSO,3,PI(34:1),70763480.77,26.07650168,PI
DMSO,3,PI(36:1),295384826.5,28.13802048,PI
DMSO,3,PI(36:2),148383449.5,27.14475494,PI
DMSO,3,PI(36:3),12958071.03,23.62734763,PI
DMSO,3,Plasmanyl-LPC(O-16:1),8543834.337,23.02645224,Plasmanyl-LPC
DMSO,3,Plasmenyl-PE(P-16:0/18:1),15603178.6,23.89533662,Plasmenyl-PE
DMSO,3,Plasmenyl-PE(P-16:0/22:5),58896802.53,25.81168598,Plasmenyl-PE
DMSO,3,Plasmenyl-PE(P-18:0/22:4),6813067.177,22.699873,Plasmenyl-PE
DMSO,3,Plasmenyl-PE(P-18:0/22:6),52281028.3,25.63978418,Plasmenyl-PE
DMSO,3,PS(16:0_18:1),111840948.5,26.73687326,PS
DMSO,3,PS(18:0_18:1),360182021.5,28.42415093,PS
DMSO,3,PS(18:0_20:4),87690857.17,26.3859231,PS
DMSO,3,PS(18:0_20:5),32665494.23,24.96126413,PS
DMSO,3,PS(18:0_22:6),64152790.41,25.93500868,PS
DMSO,3,PS(18:1_18:1),237252111.3,27.82184569,PS
DMSO,3,PS(18:1_18:2),43873941.8,25.38686099,PS
DMSO,3,PS(34:1),36459062.32,25.11977412,PS
DMSO,3,SM(d18:1/16:0),1791337159,30.73838976,SM
DMSO,3,SM(d18:1/22:0),299989810.3,28.16033826,SM
DMSO,3,SM(d18:1/24:0),833987962.3,29.63545132,SM
DMSO,3,SM(d18:1/24:1),1568240356,30.54649954,SM
DMSO,3,TG(12:0_12:0_12:0),1719223.115,20.71332535,TG
DMSO,3,TG(14:0_16:1_18:2),20521183.46,24.2906106,TG
DMSO,3,TG(14:0_18:1_18:3),105387736.8,26.65113176,TG
DMSO,3,TG(15:0_18:1_18:3),19274513.04,24.20019108,TG
DMSO,3,TG(16:0_18:2_18:3),249450688.6,27.89417941,TG
DMSO,3,TG(16:0_18:2_20:5),189728769.7,27.49936322,TG
DMSO,3,TG(16:0_18:3_18:3),56820807.53,25.759916,TG
DMSO,3,TG(16:0_18:3_22:6),46407920.05,25.4678677,TG
DMSO,3,TG(17:1_18:2_18:2),7217938.163,22.78315535,TG
DMSO,3,TG(18:1_18:2_18:3),257389568.8,27.93937835,TG
DMSO,3,TG(18:1_18:2_20:5),231018645.7,27.78343406,TG
DMSO,3,TG(18:1_18:3_22:6),32997020.4,24.97583242,TG
DMSO,3,TG(18:1_20:4_22:5),23397754.4,24.47986674,TG
RAP,1,BMP(18:1_22:5),19769107.42,24.2367444,BMP
RAP,1,Cer-NS(d18:1/22:0),28053891.17,24.74169756,Cer-NS
RAP,1,Cer-NS(d18:1/24:0),91089455.87,26.44078073,Cer-NS
RAP,1,Cer-NS(d18:1/24:1),113550011.8,26.75875262,Cer-NS
RAP,1,DG(14:0_18:1),284698611.5,28.08486022,DG
